Question,Funnel Stage,Why is this important?,Rationale/Source,Answering Analysis,Answering Mechanism,Resource Types,Level,Financial,Governance,Steward,Data Owner,Consumer,App/AI Builder,Privacy,Community,Data Expert,Security,Architecture,Admin,Purposes,Catalog History,Status
Is this database documented — what fraction of its tables and columns carry comments?,Scouting,Undocumented tables are the single biggest obstacle to anyone reusing a database they did not build.,"pg_description via obj_description and col_description gives comments per table and per column; the measure is coverage, not presence. Note rule 13 in the package CLAUDE.md — these need the schema-qualified (schema.table)::regclass form.","GAP: nothing measures comment coverage across a database's tables and columns. Design §5.2 proposes a new database comment-coverage analysis; its proposed id is deliberately not spelled out in this note, because it contains a readable repo analysis id as a substring and the stale-gap guard matches on substrings.",Database Catalog Query,database,resource;container,,,X,,X,,,,,,,,Assess;Share,,
"What engine and version is this, which extensions are installed, and is the version still supported?",Scouting,An unsupported engine version is a security and upgrade liability before anything about the data matters.,"Server-level rather than database-level — design §5 makes server, database, schema and table each addressable, and this row belongs to the server subset. Sources: version(), pg_settings, pg_extension, and the upstream support window for the major version.","GAP: db_server_profile (proposed, server-level) — no analysis reads pg_settings, pg_extension or the version support window.",Database Catalog Query,database,resource,,,,,,,,,,X,X,X,Explore;Maintain,,
"Is this database a primary or a replica, is it clustered, and is WAL archiving or backup configured?",Scouting,"Whether the data survives a failure is a property of the deployment, not of the schema, and nothing else in a survey reveals it.","Catalog-observable: pg_is_in_recovery() for the primary/standby role, pg_stat_replication for standbys and replay lag, pg_settings.archive_mode with pg_stat_archiver for WAL archiving, pg_extension and roles for backup tooling such as pgBackRest, barman or wal-g, Citus catalogs for clustering. Design §5.5 — last successful backup and tested restore are NOT observable and are asked separately.","db_resilience (design §5.5, MIXED — catalog half measured directly: primary/standby, replicas and lag, WAL archiving status, backup-tool/Citus-clustering signals; Enrichment half stays explicitly pending, never silently omitted)",Database Catalog Query + Human-Supplied,database,resource,,,,X,,,,,,,,X,Assess;Maintain,,
"When was this resource last backed up successfully, and has a restore ever been tested?",Analysis/Enrichment,"These are the two resilience questions a data owner actually asks, and the two that nothing inside the resource itself can answer.","Design §5.5 draws the line explicitly for databases: primary/standby role, replicas, WAL archiving and extension-based backup tooling are catalog-observable, while last successful backup, tested restore and RPO/RTO are not, for any resource type. They come from an Enrichment ""Backup and recovery"" section, and the answer envelope must say which half answered.",N/A — human-supplied via the Enrichment Context form (the Enrichment half of the proposed db_resilience analysis for databases; no filesystem-side catalog-observable half exists yet).,Human-Supplied,database;filesystem,resource,,X,,X,,,,,,,,X,Assess;Attest;Maintain,,
"What kind of database is this — transactional, analytical, reference data, staging or a copy?",Discovery,The kind of database decides which later analyses are worth paying for at all.,"Zero new fetch — reasons over what Scouting already stored: table shapes, foreign-key density, naming conventions, read/write ratios from the tuple counters, and the query mix if pg_stat_statements is installed.","db_classification (design §5.3, §5.7 — derived from stored table shapes, key/FK density, naming patterns and the read/write mix in stored tuple counters; confidence scales with how many signal families were available)",Database Catalog Query,database,container,,,,,,,,,X,,X,,Explore;Select,,
"Is there a data model here — do the tables relate through foreign keys, or is this a bag of tables?",Discovery,A database with no declared relationships needs a very different kind of attention from one with a real model.,"Zero new fetch: the foreign-key constraints Scouting already read become a graph, and the measure is connectivity — orphan tables, components, in-degree.","db_relationship_graph (design §5.3, §5.7 — builds the FK graph from stored column rows: edge count, connected components, isolated tables, most-referenced tables)",Database Catalog Query,database,container,,,,,,,,,X,,X,,Explore;Learn,,
What is the grain of each table — one row per what?,Discovery,Grain is the first thing a consumer has to know and the last thing most databases write down.,"Inferred from primary-key composition, column names, n_distinct approaching the row count, and date columns — emitted as an Egeria DataGrainAnnotation with a grainStatement and a confidence. Shared with the filesystem path, where the same inference runs over a data file's columns.","grain_determination (design §5.3, §5.7 — derived from the declared primary key, or a stored column profile whose distinct count matches the row count, plus any date column in the key; extended 2026-09-24 with §16.3's time grain from naming — a period word or date-shaped suffix in the table name, or a column named like a date whatever its type — each interval carrying the basis it came from and a confidence for it, so a key-declared period is no longer indistinguishable from a guess about a naming habit; published as a DataGrainAnnotation proposal)",Database Catalog Query + Agent-Based Analysis,database;filesystem,member,,,X,,X,,,,X,,,,Explore;Learn;Assess,"2026-09-24: extended with multi-resource-questions-design.md §16.3's time grain from naming (table-name period words, Postgres child-partition date suffixes, date-named columns of non-temporal type), each with an explicit interval_basis and interval_confidence. The entity-grain-from-keys half of §16.2 was already built and is unchanged. §16.2's literal year=/month=/day= partition keys are a filesystem layout and are not looked for here.",
Does this look like a copy or a subset of a database we already know?,Discovery,"Paying to survey, host and govern the third copy of the same database is a cost nobody decided to take on.","A schema signature — table and column names, types, key structure — hashed into a fingerprint and compared against the fingerprints of databases already in the registry. Egeria's FingerprintAnnotation is the publication shape.","db_fingerprint (design §3, §5.3 — a structural signature over stored table/column names and types, hashed and compared by Jaccard similarity and containment against every other database in the registry with stored schema rows)",Database Catalog Query + Local Registry Query,database,container,X,,X,,,,,,,,X,,Explore;Select,,
"Are there views, materialised views, functions or triggers that encode business logic?",Discovery,Logic hidden in views and triggers is logic no application-level survey will ever find.,"The DDL is already in the catalog (pg_views, pg_matviews, pg_proc, pg_trigger) and Resource Explorer already parses view DDL with SQLGlot for dependencies, column lineage and complexity. What is missing is the link from that step's output back to the question layer.","PARTIAL: the sql_analysis survey step parses view DDL with SQLGlot, but it is a survey step only — analysis_catalog.yaml has no sql_analysis entry, so nothing in the question layer resolves its result.",Code Analysis,database,container,,,,,,X,,,X,,X,,Explore;Learn,,
Which tables would a consumer start with?,Discovery,"A hundred-table database with no entry point is functionally undiscoverable, however well it is catalogued.","A ranking rather than a measure: foreign-key in-degree, row counts, presence of comments and read activity from the scan counters, combined into a short starting list. Zero new fetch.",GAP: db_hub_tables (proposed) — every input exists; nothing combines them into a ranking.,Database Catalog Query,database,member,,,,,X,X,,,X,,,,Explore;Learn,,
"Which columns hold semi-structured data (JSON, JSONB, XML, arrays or hstore), and how much of the data sits in them?",Discovery,"Data hidden inside JSON columns is invisible to every schema-level question, and is often where the interesting fields live.","Zero new fetch — the column types are already in the catalog read; what is derived is which columns are semi-structured and what share of the stored bytes they account for. The contents themselves are a separate, more expensive Analysis question.","GAP: no analysis classifies a column as semi-structured (JSON/JSONB/XML/array/hstore) or measures the share of stored bytes it accounts for -- the catalog reads that already capture column types perform no such derivation, and no id in the database analysis catalog performs it either.",Database Catalog Query,database,field,,,,,,X,,,X,,,,Explore;Assess,,
"What is this data about — which subjects, business terms or data classes does it appear to hold?",Discovery,"A consumer shopping for data searches by subject, not by table name; a resource nobody can describe is a resource nobody finds.","Free at Scouting cost (design §16.2): table and column names plus pg_description comments already sit in RE's stored rows, so candidate subject terms need no new fetch. Confidence is low-medium on purpose — §16.2's ""a name is a claim"".","subject_signals (design §16.2, §16.3 — candidate subject terms from stored table/column names and pg_description comments, each carrying its basis: a comment outranks a name and a term in both outranks either. NOT matched against Egeria's glossary or a data-class registry, because the step opens no connection — an unmatched term means ""not looked up"". A database whose names are wholly structural is a real finding pointing at Enrichment; a database with no comment anywhere reads as ""comments not captured"")",Database Catalog Query,database,container;member,,,X,,X,,,,X,,,,Explore;Learn;Select,"2026-09-24: added with multi-resource-questions-design.md §16.3's Scouting/Discovery rows. §16.3 files this question under Scouting; it is recorded as Discovery here (and tagged intent: discovery in analysis_catalog.yaml) because CLAUDE.md rule 17's axis is ""does this collect, or reason over what is already collected"" and this reasons over stored rows — the same judgement that already placed grain_determination, also a §16.3 Scouting row, in Discovery. §16.2's Scouting placement is about the signal being free, and it is: no fetch is added.",
"What period and places does this appear to cover, from catalog statistics and names alone?",Discovery,"Data that does not cover the period or the places being asked about is out of scope however good it is, and finding that out after the expensive pass is the waste the funnel exists to avoid.","design §16.2: pg_stats histogram bounds give a date column's min and max WITHOUT reading rows. Its own warning is the load-bearing part — ""absent means 'run ANALYZE', not 'no dates'"" — so the two states are separately named rather than collapsed.","coverage_signals (design §16.2, §16.3 — period from pg_stats histogram bounds and exact min/max where a native survey stored them; absence of bounds is reported as ""run ANALYZE / credential cannot see pg_stats"", NEVER as ""no dates"", and ""no date column at all"" is a separate, measured negative. Places are the NAMES of place-bearing columns only — which regions are present needs the values, deferred to coverage_profile. PARTIAL: partition bounds would be exact and free and nothing in RE collects them, reported as a collection gap; Parquet footers and DCAT temporal/spatial descriptors are filesystem/dataset work, not attempted here)",Database Catalog Query,database,member,,X,,,X,,,,,,,,Explore;Select;Assess,"2026-09-24: added with multi-resource-questions-design.md §16.3's Scouting/Discovery rows. §16.3 files this question under Scouting; it is recorded as Discovery here (and tagged intent: discovery in analysis_catalog.yaml) because CLAUDE.md rule 17's axis is ""does this collect, or reason over what is already collected"" and this reasons over stored rows — the same judgement that already placed grain_determination, also a §16.3 Scouting row, in Discovery. §16.2's Scouting placement is about the signal being free, and it is: no fetch is added.",
Could this be in scope for what I am looking for — worth the full pass?,Discovery,"This is the gate: it decides whether the Analysis-tier aggregate pass is worth paying for on this resource, from signals that cost nothing.","design §16.3's Discovery gate and §16.5 point 2 — fit is a query over stored measurements, not a survey, so changing the requirement recomputes fit across every already-surveyed resource at zero fetch cost, and the same question works with no requirement at all as a comparison across resources.","preliminary_fit (design §16.3, §16.5 — zero-fetch comparison of subject_signals, coverage_signals and grain_determination's time grain against a supplied data requirement, with per-input confidence. Four verdicts kept distinct: fits; does not fit; could_not_check when an input was itself not established — the pg_stats/ANALYZE case, never rendered as either of the first two; and ""no requirement declared"" when none is supplied, which carries what the resource COULD satisfy instead of a vacuous pass. Regions, data classes and grain statements are carried through as deferred criteria naming the analysis that answers them, never scored here. GAP, deliberate and scoped: the full DataLens governance definition — versioned, investigation-scoped, with Curate-tier ""make this my lens"" actions, §16.5 points 3-5 — is not built; this takes a plain lens mapping or none, on §16.6's own authority)",Database Catalog Query + Local Registry Query,database,container,X,,,,X,,,,,,,,Explore;Select,"2026-09-24: added with multi-resource-questions-design.md §16.3's Discovery gate. Built WITHOUT the full DataLens governance-definition model (§16.5 points 3–5), on §16.6's own authority — ""preliminary_fit works before it exists, as a comparison across resources"". It takes a plain lens mapping using §16.6's scopeElements key names, or none at all, in which case it renders ""no requirement declared"" plus what the resource could satisfy.",
"What is the full schema — tables, columns, types, keys, constraints and indexes?",Analysis,"The schema is the contract, and every structural question downstream is asked against it.","The complete catalog read: information_schema and pg_catalog for schemas, tables, columns and types; pg_constraint for primary, foreign, unique and check constraints; pg_index for indexes. Published under Egeria's own Relational* metric keys so a native and a local run are comparable (design §2.2).",schema_inventory,Database Catalog Query,database,member;field,,,,,,,,,X,,X,,Explore;Assess;Deploy,,
"What do the columns actually contain — nulls, distinct counts, most-common values, ranges and widths?",Analysis,Types say what a column may hold; only the values say what it does hold.,"pg_stats, populated by ANALYZE, already carries null_frac, n_distinct, most_common_vals, most_common_freqs, histogram_bounds, avg_width and correlation — column profiling with no sampling at all. Value sampling is the fallback for columns whose statistics are stale or missing. Design §5.8: the answer envelope must state which route ran and, when sampled, the strategy, bound and seed.","GAP: column_profile (proposed) — pg_stats is never read, and no sampling fallback exists.",Database Catalog Query + Value Profiling,database,field,,,X,,,,,,X,,,,Assess;Learn,,
"Which columns conform to a known Data Class, with what confidence, and which look like a class we do not have yet?",Analysis,Knowing where the sensitive data actually sits is the precondition for every privacy and access question after it.,"Generalises the existing PII matching: column name, type and sampled value patterns matched against every Egeria DataClass, producing a DataClassAnnotation per column with a stated confidence. Columns that show a clear pattern but match nothing raise an RFA proposing a new Data Class, carrying the observed pattern. Per design §5.8 the confidence is always stated against the sample, never as an unqualified ""conforms"".","data_class_match (Phase 1 slice 10, design §5.4/§5.8 — matches column name, type and bounded value sampling against every Egeria DataClass the platform holds, producing a DataClassAnnotation per column; an unmatched-but-patterned column is proposed as a new DataClass with contentStatus: DRAFT, linked to its evidence via AssociatedAnnotation)",Value Profiling + Egeria Queries,database;filesystem;dataset,field,,X,X,,,,X,,,X,,,Assess;Certify;Remediate,,
"Which low-cardinality columns conform to a known reference-data set, and which should become one?",Analysis,"Uncontrolled code columns are where data quality quietly fails, and they are cheap to find.",Columns whose n_distinct falls under a threshold have their distinct values compared against every Egeria ValidValueSet. A full match becomes ValidValuesAssignment advice; a partial match raises an RFA listing the unmatched values; no match at all raises an RFA proposing a new ValidValueSet carrying the values.,"reference_data_match (design §5.4 — compares each low-cardinality column's sampled distinct values against every Egeria ValidValueSet: a full match becomes ValidValuesAssignment advice, a partial match raises an RFA listing the unmatched values, and no match at all proposes a new ValidValueSet carrying the values)",Value Profiling + Egeria Queries,database;filesystem,field,,X,X,,,,,,X,,,,Assess;Remediate,,
"What is inside the JSON, JSONB and XML columns — keys, nesting, types, and consistency across rows?",Analysis,"A schema that stops at ""jsonb"" describes the column and says nothing about the data.","JSONB via jsonb_object_keys and jsonb_typeof over a bounded sample, giving key frequency, nesting depth and type consistency across rows; XML via the root element and xpath key sampling. The result is a SchemaAnalysisAnnotation carrying an inferred nested schema, sharing its inference core with the filesystem path's JSON and XML file profiling.","nested_column_profile (design §5.4/§5.7, postgres_nested_columns — samples every JSON/JSONB/XML column and infers a nested schema: per-key presence frequency and JSON-type consistency, or for XML the root element and element/attribute name frequency, plus nesting depth)",Value Profiling,database,field,,,,,,X,,,X,,,,Assess;Learn,,
"Which tables have no primary key, no foreign key, no comment, unused indexes, or names that break the convention?",Analysis,"These are the specific, fixable defects behind a vague sense that a database is badly kept.","Check-granular in the same shape as the repository conventions analysis: each defect is its own named check so an assessment can cite it and a subscription can watch it. All of it reads the catalog, including pg_stat_user_indexes for indexes nothing uses.","schema_conventions (design §5.4, §5.7 — check-granular structural hygiene derived from stored rows: no primary key, no foreign key, no comment, non-snake_case names; does not cover unused indexes, which needs a live pg_stat_user_indexes read)",Database Catalog Query,database,member,,,X,,,,,,X,,X,,Assess;Remediate,,
"What does this database depend on outside itself — foreign data wrappers, dblink, extensions or publications?",Analysis,"An external dependency is a reachability, security and upgrade constraint that the schema alone never shows.","pg_foreign_server and pg_foreign_table for FDWs, pg_extension for extensions including dblink, pg_publication and pg_subscription for logical replication. A catalog read, no row data.","db_external_dependencies (design §5.4 — extensions, foreign data wrappers/servers/tables, logical replication publications/subscriptions)",Database Catalog Query,database,resource,,,,,,,,,,X,X,X,Assess;Deploy,,
"Who can read and write what — roles, grants, superusers, PUBLIC grants, and are sensitive columns readable broadly?",Analysis,Access is only half an answer; access crossed with sensitivity is the half anyone acts on.,"pg_roles, role_table_grants and pg_default_acl give the access half and already have an analysis. The sensitivity half needs column-level Data Class matching, and the question is the cross of the two — which is why a broad PUBLIC grant on an unremarkable table and the same grant on a table of personal data read identically today.","PARTIAL: privilege_audit answers the roles, grants, superuser and PUBLIC-grant half; the sensitive-column half needs the proposed data_class_match and the join between the two, neither of which is built.",Database Catalog Query,database,resource;member,,X,,,,,X,,,X,,X,Assess;Certify;Remediate,,
"How is this database changing — rows inserted, updated and deleted per table per period, size drift and schema churn?",Analysis,A point-in-time survey cannot distinguish a busy table from an abandoned one; the deltas can.,"Deltas of the n_tup_ins/upd/del counters and of relation sizes between two stored snapshots, per table, producing a series the Understanding tier can chart and the change detectors in design §9 can threshold. Depends on the structured per-snapshot tables, not on re-parsing the survey JSON blob.","db_change_rates (design §5.4, §5.7 — rows inserted/updated/deleted per table per period, size drift and schema churn, differenced between two stored survey snapshots)",Trend Chart,database,member,,,X,X,,,,,,,,X,Maintain;Assess,,
Which glossary terms do these columns probably mean?,Analysis,Columns bound to agreed terms are the difference between a catalogued database and an understandable one.,"Suggestions rather than assignments, drawn from column names, any matched Data Classes and any matched reference-data sets, and published as Egeria SemanticAnnotations for a steward to accept or reject.",GAP: semantic_suggestions (proposed) — SemanticAnnotation exists as a type and nothing produces one.,Egeria Queries + Agent-Based Analysis,database;filesystem,field,,,X,,X,,,,X,,,,Learn;Share,,
How complete and consistent is this database's documentation?,Assessment,"Documentation coverage is the scored version of the Scouting comment question, and the one a steward is measured on.",Scores the coverage measure against criteria and adds the convention checks — a database where every table has a comment but half of them repeat the table name is not well documented.,"PARTIAL: schema_conventions supplies the completeness half (tables and columns with no comment, banded against nothing-captured); it checks presence only -- no analysis scores comment quality or consistency (e.g. a comment that only repeats the table name), so that half of the question stays a gap.",Database Catalog Query,database,container,,,X,,X,,,,,,,,Assess;Share,,
What is the sensitive-data exposure — which sensitive columns can which roles read?,Assessment,"This is the question a privacy review actually asks, and it is a cross of two analyses rather than either one.","The scored form of the access-and-sensitivity question in Analysis: sensitive columns identified by Data Class matching, crossed with who holds read access to them, weighted by the breadth of the grant. A PUBLIC grant on a column of personal data is the finding this exists to surface.","PARTIAL: privilege_audit supplies who can read what; the sensitive-column half needs the proposed data_class_match, and nothing crosses the two today.",Database Catalog Query,database,field,,X,,,,,X,,,X,,,Assess;Certify;Remediate,,
"How well-modelled is this database — keys, constraints, foreign-key coverage, orphan tables and grain clarity?",Assessment,Modelling quality predicts how expensive this database will be to integrate with anything else.,Scores the convention checks together with grain clarity: a table whose grain cannot be stated is a modelling defect even when its constraints are all present.,"MIXED: schema_conventions (keys and constraints -- tables with no primary key, tables with no foreign key) + db_relationship_graph (foreign-key coverage, connected components, isolated/orphan tables) + grain_determination (per-table grain clarity, or a named modelling gap where none exists)",Database Catalog Query,database,container,,,X,,,,,,X,,X,,Assess,,
How well-governed is this database's reference data — what share of its low-cardinality columns are bound to a set?,Assessment,"Reference-data governance is measurable as a share, which makes it one of the few governance claims that can be tracked over time.",The denominator is the columns whose cardinality makes them reference-data candidates; the numerator is those bound to an Egeria ValidValueSet. Both come from the reference-data matching analysis.,"PARTIAL: reference_data_match supplies the per-column checks (built, not proposed) -- which columns are low-cardinality, and whether each is matched, partially matched or unmatched against a ValidValueSet -- but nothing aggregates those verdicts into the governance share this question asks for.",Egeria Queries,database,container,,X,X,,,,,,,,,,Assess;Certify,,
"Is this database maintained and healthy — vacuum recency, dead-tuple ratio and unused indexes?",Assessment,Operational neglect shows up in the statistics long before it shows up as an outage.,"Scores the activity signals against thresholds: how long since the last vacuum or analyse, the ratio of dead to live tuples, and indexes that have never been scanned. Remember design §5.1's absence rule — statistics that were never collected must not read as a healthy zero.","db_activity_signals (design §5.2, §5.7 — vacuum recency and dead-tuple ratios read from the same stored pg_stat_user_tables figures as the activity-signals roll-up above)",Database Catalog Query,database,resource;member,,,X,,,,,,,,,X,Maintain;Assess,,
"Is this database resilient — replica present, archiving on, backup evidence and a tested restore?",Assessment,"A data owner signing off on a database is signing off on its recovery, not its schema.","Design §5.5 makes this deliberately two-sided: the catalog facts (role, replicas, archiving, backup tooling) and the Enrichment facts (last successful backup, tested restore, RPO and RTO). The envelope must say which half answered, because a green score drawn only from the catalog half would claim something nobody verified.","db_resilience (design §5.5, MIXED — combines the catalog-read half above with an Enrichment 'Backup and recovery' section that stays explicitly pending rather than silently omitted)",Database Catalog Query + Human-Supplied,database,resource,,X,,X,,,,,,,,X,Assess;Attest,,
"What kinds of files does this filesystem contain, and how much data is there?",Scouting,Need a basic inventory before deciding whether deeper analysis of this filesystem is worth the time.,"File walk classifies every file by format and type, records sizes and timestamps — RE's baseline inventory for a filesystem resource, the filesystem equivalent of schema_inventory for a database.",filesystem_inventory,Code Analysis,filesystem,resource,,,X,,,,,,X,,,X,Explore;Select,"2026-09-22: added — filesystem_inventory is a real, registered analysis (file walk, format/size/timestamp classification, tabular data-file schema profiling) that had zero question coverage in this catalog, not even a GAP row. Confirmed via a live query against Egeria that no content-pack element covers filesystem or reachability questions, so there is no overlap risk in adding these.",
"Does this filesystem contain recognizable tabular or structured data files, and what do their schemas look like?",Discovery,Whether a filesystem holds usable structured data determines whether it's worth treating as a dataset source.,"filesystem_inventory profiles tabular data file schemas (CSV, Excel, Parquet) it recognizes during the same walk — this reuses that profiling rather than a separate pass.",filesystem_inventory,Code Analysis,filesystem,member,,,,,X,X,,,X,,,,Explore;Select,"2026-09-22: added — filesystem_inventory is a real, registered analysis (file walk, format/size/timestamp classification, tabular data-file schema profiling) that had zero question coverage in this catalog, not even a GAP row. Confirmed via a live query against Egeria that no content-pack element covers filesystem or reachability questions, so there is no overlap risk in adding these.",
